,Volcano_Number,Eruption_Number,Activity_Type,ExplosivityIndexMax,StartEvidenceMethod,StartDateYear,StartDateMonth,StartDateDay,EndDateYear,EndDateMonth,EndDateDay,StartDate,EndDate
380,300250,19386,Confirmed Eruption,3,Observations: Reported,2008,7,11,2008,8,23,2008-07-11,2008-08-23
381,300250,19387,Confirmed Eruption,3,Observations: Reported,2009,12,17,2010,2,16,2009-12-17,2010-02-16
382,300250,19388,Confirmed Eruption,3,Observations: Satellite (infrared),2010,5,21,2011,4,29,2010-05-21,2011-04-29
383,300250,19379,Confirmed Eruption,2,Observations: Reported,2001,12,10,2002,1,6,2001-12-10,2002-01-06
384,300250,19380,Confirmed Eruption,2,Observations: Reported,2002,12,25,2002,12,28,2002-12-25,2002-12-28
385,300250,19381,Confirmed Eruption,3,Observations: Reported,2003,7,26,2003,8,1,2003-07-26,2003-08-01
386,300250,19382,Confirmed Eruption,3,Observations: Reported,2004,1,14,2005,2,16,2004-01-14,2005-02-16
387,300250,19383,Confirmed Eruption,2,Observations: Reported,2005,11,29,2005,12,1,2005-11-29,2005-12-01
388,300250,19384,Confirmed Eruption,3,Observations: Reported,2006,4,16,2006,12,29,2006-04-16,2006-12-29
389,300250,19373,Confirmed Eruption,3,Observations: Reported,1997,12,5,1997,12,6,1997-12-05,1997-12-06
390,300250,19375,Confirmed Eruption,2,Observations: Reported,1999,2,25,1999,2,25,1999-02-25,1999-02-25
391,300250,19376,Confirmed Eruption,2,Observations: Reported,2000,3,14,2000,3,26,2000-03-14,2000-03-26
392,300250,19377,Confirmed Eruption,2,Observations: Reported,2000,7,18,2000,11,4,2000-07-18,2000-11-04
393,300250,19378,Confirmed Eruption,3,Observations: Reported,2001,7,23,2001,8,10,2001-07-23,2001-08-10
394,300250,19367,Confirmed Eruption,2,Observations: Reported,1992,3,12,1992,6,12,1992-03-12,1992-06-12
395,300250,19368,Confirmed Eruption,3,Observations: Reported,1993,10,21,1994,2,4,1993-10-21,1994-02-04
396,300250,19369,Confirmed Eruption,2,Observations: Reported,1994,7,7,1994,10,5,1994-07-07,1994-10-05
397,300250,19370,Confirmed Eruption,3,Observations: Reported,1995,9,16,1995,10,8,1995-09-16,1995-10-08
398,300250,19372,Confirmed Eruption,3,Observations: Reported,1997,5,8,1997,5,16,1997-05-08,1997-05-16
399,300250,19361,Confirmed Eruption,3,Observations: Reported,1984,2,5,1984,12,16,1984-02-05,1984-12-16
400,300250,19362,Confirmed Eruption,3,Observations: Reported,1985,6,12,1985,12,14,1985-06-12,1985-12-14
401,300250,19363,Confirmed Eruption,2,Observations: Reported,1986,3,26,1986,6,29,1986-03-26,1986-06-29
402,300250,19364,Confirmed Eruption,3,Observations: Reported,1986,12,5,1988,7,26,1986-12-05,1988-07-26
403,300250,19365,Confirmed Eruption,2,Observations: Reported,1989,8,1,1989,8,4,1989-08-01,1989-08-04
404,300250,19366,Confirmed Eruption,3,Observations: Reported,1990,1,29,1991,11,29,1990-01-29,1991-11-29
405,300250,19352,Confirmed Eruption,2,Observations: Reported,1978,9,8,1978,9,8,1978-09-08,1978-09-08
406,300250,19353,Confirmed Eruption,3,Observations: Reported,1979,2,11,1979,2,11,1979-02-11,1979-02-11
407,300250,19354,Confirmed Eruption,2,Observations: Reported,1979,9,18,1979,9,18,1979-09-18,1979-09-18
408,300250,19355,Confirmed Eruption,3,Observations: Reported,1980,4,18,1980,4,19,1980-04-18,1980-04-19
409,300250,19356,Confirmed Eruption,2,Observations: Reported,1980,8,21,1980,8,27,1980-08-21,1980-08-27
410,300250,19360,Confirmed Eruption,3,Observations: Reported,1981,6,12,1983,5,22,1981-06-12,1983-05-22
411,300250,19348,Confirmed Eruption,3,Observations: Reported,1965,3,9,1970,3,16,1965-03-09,1970-03-16
412,300250,19349,Confirmed Eruption,3,Observations: Reported,1971,3,16,1974,12,16,1971-03-16,1974-12-16
413,300250,19350,Confirmed Eruption,2,Observations: Reported,1976,3,25,1976,3,25,1976-03-25,1976-03-25
414,300250,19351,Confirmed Eruption,3,Observations: Reported,1977,3,25,1977,3,25,1977-03-25,1977-03-25
474,283010,17379,Confirmed Eruption,1,Observations: Reported,1989,7,13,1989,7,13,1989-07-13,1989-07-13
475,283020,21080,Confirmed Eruption,1,Observations: Reported,2015,6,29,2015,7,1,2015-06-29,2015-07-01
476,290120,18773,Confirmed Eruption,3,Observations: Reported,1970,2,16,1970,3,16,1970-02-16,1970-03-16
477,290120,18774,Confirmed Eruption,1,Observations: Reported,1973,7,25,1973,7,26,1973-07-25,1973-07-26
478,290120,18775,Uncertain Eruption,1,unknown,2005,7,2,2005,7,2,2005-07-02,2005-07-02
479,290120,18776,Uncertain Eruption,2,unknown,2009,8,26,2009,8,26,2009-08-26,2009-08-26
480,290150,18785,Confirmed Eruption,2,Observations: Reported,1982,11,22,1982,11,22,1982-11-22,1982-11-22
481,290200,22287,Uncertain Eruption,1,Observations: Reported,2018,9,21,2018,9,21,2018-09-21,2018-09-21
616,283220,18034,Confirmed Eruption,1,Observations: Reported,1974,3,1,1974,4,30,1974-03-01,1974-04-30
617,283230,18053,Confirmed Eruption,2,Observations: Reported,1970,9,18,1971,1,26,1970-09-18,1971-01-26
618,283260,18089,Confirmed Eruption,1,Observations: Reported,1997,5,11,1997,5,11,1997-05-11,1997-05-11
619,283260,18090,Confirmed Eruption,1,Observations: Reported,1997,8,16,1997,8,16,1997-08-16,1997-08-16
632,300060,18972,Confirmed Eruption,2,Observations: Reported,2000,3,17,2000,3,17,2000-03-17,2000-03-17
633,300060,18973,Confirmed Eruption,1,Observations: Hydrophonic,2000,6,30,2000,6,30,2000-06-30,2000-06-30
634,300070,19024,Confirmed Eruption,3,Observations: Reported,1980,6,15,1981,7,3,1980-06-15,1981-07-03
635,300070,19025,Confirmed Eruption,2,Observations: Reported,1984,8,4,1986,9,21,1984-08-04,1986-09-21
636,300070,19026,Confirmed Eruption,1,Observations: Reported,2010,6,6,2010,6,22,2010-06-06,2010-06-22
637,300090,19045,Confirmed Eruption,2,Observations: Reported,2008,12,23,2009,8,27,2008-12-23,2009-08-27
638,300100,19104,Confirmed Eruption,1,Observations: Reported,2001,10,5,2001,10,5,2001-10-05,2001-10-05
639,300100,19103,Confirmed Eruption,2,Observations: Reported,1991,1,13,1991,1,30,1991-01-13,1991-01-30
716,290360,18858,Confirmed Eruption,2,Observations: Reported,2007,3,4,2007,4,18,2007-03-04,2007-04-18
717,290360,18859,Confirmed Eruption,2,Observations: Reported,2007,8,19,2007,11,1,2007-08-19,2007-11-01
718,290360,18860,Confirmed Eruption,2,Observations: Reported,2008,7,29,2008,8,8,2008-07-29,2008-08-08
719,290360,22127,Confirmed Eruption,2,Observations: Reported,2016,3,29,2016,3,31,2016-03-29,2016-03-31
720,290360,22153,Confirmed Eruption,2,Observations: Reported,2016,7,27,2016,8,30,2016-07-27,2016-08-30
721,290360,18853,Confirmed Eruption,2,Observations: Reported,1973,8,10,1973,9,28,1973-08-10,1973-09-28
722,290360,18854,Confirmed Eruption,4,Observations: Reported,1986,11,18,1986,12,7,1986-11-18,1986-12-07
723,290360,18855,Confirmed Eruption,2,Observations: Reported,2002,1,25,2002,4,22,2002-01-25,2002-04-22
724,290360,18856,Confirmed Eruption,2,Observations: Reported,2003,4,17,2003,7,3,2003-04-17,2003-07-03
725,290360,18857,Confirmed Eruption,1,Observations: Reported,2005,3,12,2005,4,7,2005-03-12,2005-04-07
726,290360,20990,Confirmed Eruption,3,Observations: Reported,2015,2,16,2015,2,18,2015-02-16,2015-02-18
727,290380,18877,Confirmed Eruption,2,Observations: Reported,2005,1,29,2005,2,16,2005-01-29,2005-02-16
728,290380,18878,Confirmed Eruption,1,Observations: Reported,2009,2,11,2009,7,13,2009-02-11,2009-07-13
729,290380,18879,Confirmed Eruption,1,Observations: Reported,2010,7,2,2010,7,9,2010-07-02,2010-07-09
