,Volcano_Number,Eruption_Number,Activity_Type,ExplosivityIndexMax,StartEvidenceMethod,StartDateYear,StartDateMonth,StartDateDay,EndDateYear,EndDateMonth,EndDateDay,StartDate,EndDate
766,352010,11448,Confirmed Eruption,2,Observations: Reported,2007,3,15,2007,10,11,2007-03-15,2007-10-11
767,352010,11449,Confirmed Eruption,2,Observations: Reported,2008,7,27,2024,12,19,2008-07-27,2024-12-19
768,352010,11443,Confirmed Eruption,2,Observations: Reported,1972,7,16,1972,9,16,1972-07-16,1972-09-16
769,352010,11444,Confirmed Eruption,3,Observations: Reported,1973,11,16,1974,7,16,1973-11-16,1974-07-16
770,352010,11445,Confirmed Eruption,2,Observations: Reported,1976,1,4,1976,5,16,1976-01-04,1976-05-16
771,352010,11446,Confirmed Eruption,4,Observations: Reported,2002,11,3,2003,1,10,2002-11-03,2003-01-10
772,352010,11447,Confirmed Eruption,2,Observations: Reported,2004,11,7,2006,3,16,2004-11-07,2006-03-16
773,352020,11498,Confirmed Eruption,1,Observations: Reported,2002,4,16,2002,4,16,2002-04-16,2002-04-16
774,352020,11499,Confirmed Eruption,1,Observations: Reported,2002,10,11,2002,12,7,2002-10-11,2002-12-07
775,352020,11500,Uncertain Eruption,1,unknown,2003,4,17,2003,4,17,2003-04-17,2003-04-17
776,352020,11501,Uncertain Eruption,1,unknown,2008,2,1,2008,2,1,2008-02-01,2008-02-01
777,352020,11502,Uncertain Eruption,1,unknown,2009,2,16,2009,2,17,2009-02-16,2009-02-17
778,352020,11492,Confirmed Eruption,1,Observations: Reported,1985,5,16,1985,6,16,1985-05-16,1985-06-16
779,352020,11493,Confirmed Eruption,1,Observations: Reported,1990,4,16,1990,5,10,1990-04-16,1990-05-10
780,352020,11494,Confirmed Eruption,1,Observations: Reported,1993,3,9,1993,3,12,1993-03-09,1993-03-12
781,352020,11495,Confirmed Eruption,1,Observations: Reported,1997,3,16,1997,10,18,1997-03-16,1997-10-18
782,352020,11496,Confirmed Eruption,3,Observations: Reported,1998,8,7,2001,5,25,1998-08-07,2001-05-25
783,352020,11497,Confirmed Eruption,1,Observations: Reported,2001,11,26,2001,11,26,2001-11-26,2001-11-26
784,352020,11491,Confirmed Eruption,1,Observations: Reported,1981,8,31,1982,11,16,1981-08-31,1982-11-16
811,355107,11843,Uncertain Eruption,1,unknown,1990,4,24,1990,4,24,1990-04-24,1990-04-24
812,355100,22110,Confirmed Eruption,2,Observations: Reported,2015,10,30,2017,4,2,2015-10-30,2017-04-02
