,Volcano_Number,Eruption_Number,Activity_Type,ExplosivityIndexMax,StartEvidenceMethod,StartDateYear,StartDateMonth,StartDateDay,EndDateYear,EndDateMonth,EndDateDay,StartDate,EndDate
935,241100,14667,Confirmed Eruption,1,Observations: Reported,1997,10,9,1997,10,18,1997-10-09,1997-10-18
936,241100,14668,Confirmed Eruption,1,Observations: Reported,2006,10,4,2006,10,4,2006-10-04,2006-10-04
937,241100,14669,Confirmed Eruption,1,Observations: Reported,2007,9,25,2007,9,25,2007-09-25,2007-09-25
938,241100,14658,Confirmed Eruption,1,Observations: Reported,1989,7,1,1989,9,20,1989-07-01,1989-09-20
939,241100,14659,Confirmed Eruption,1,Observations: Reported,1990,1,7,1990,1,26,1990-01-07,1990-01-26
940,241100,14661,Confirmed Eruption,1,Observations: Reported,1991,7,5,1991,7,14,1991-07-05,1991-07-14
941,241100,14662,Confirmed Eruption,1,Observations: Reported,1992,2,8,1992,3,6,1992-02-08,1992-03-06
942,241100,14663,Uncertain Eruption,1,unknown,1994,2,12,1994,4,1,1994-02-12,1994-04-01
943,241100,14652,Confirmed Eruption,1,Observations: Reported,1985,5,21,1985,6,9,1985-05-21,1985-06-09
944,241100,14653,Confirmed Eruption,1,Observations: Reported,1985,11,15,1985,11,15,1985-11-15,1985-11-15
945,241100,14654,Confirmed Eruption,1,Observations: Reported,1986,2,8,1986,2,9,1986-02-08,1986-02-09
946,241100,14655,Confirmed Eruption,1,Observations: Reported,1987,8,24,1987,8,30,1987-08-24,1987-08-30
947,241100,14656,Confirmed Eruption,1,Observations: Reported,1988,3,20,1988,5,25,1988-03-20,1988-05-25
948,241100,14657,Confirmed Eruption,1,Observations: Reported,1988,12,8,1989,3,5,1988-12-08,1989-03-05
949,241100,14646,Confirmed Eruption,1,Observations: Reported,1979,6,30,1979,7,15,1979-06-30,1979-07-15
950,241100,14647,Confirmed Eruption,1,Observations: Reported,1980,1,15,1980,3,27,1980-01-15,1980-03-27
951,241100,14648,Confirmed Eruption,1,Observations: Reported,1980,10,18,1980,11,3,1980-10-18,1980-11-03
952,241100,14649,Confirmed Eruption,1,Observations: Reported,1981,10,25,1982,4,12,1981-10-25,1982-04-12
953,241100,14650,Confirmed Eruption,1,Observations: Reported,1984,4,2,1984,4,2,1984-04-02,1984-04-02
954,241100,14651,Confirmed Eruption,1,Observations: Reported,1984,10,25,1984,12,16,1984-10-25,1984-12-16
955,241100,14640,Confirmed Eruption,1,Observations: Reported,1973,10,31,1974,10,25,1973-10-31,1974-10-25
956,241100,14641,Confirmed Eruption,2,Observations: Reported,1975,4,24,1975,4,27,1975-04-24,1975-04-27
957,241100,14642,Confirmed Eruption,1,Observations: Reported,1975,10,17,1975,10,17,1975-10-17,1975-10-17
958,241100,14643,Confirmed Eruption,1,Observations: Reported,1976,3,6,1976,3,6,1976-03-06,1976-03-06
959,241100,14644,Confirmed Eruption,1,Observations: Reported,1976,9,12,1976,11,22,1976-09-12,1976-11-22
960,241100,14645,Confirmed Eruption,2,Observations: Reported,1977,7,16,1979,1,17,1977-07-16,1979-01-17
961,241100,14637,Confirmed Eruption,1,Observations: Reported,1970,9,16,1970,9,17,1970-09-16,1970-09-17
962,241100,14638,Confirmed Eruption,2,Observations: Reported,1971,4,3,1971,11,1,1971-04-03,1971-11-01
963,241100,14639,Confirmed Eruption,1,Observations: Reported,1972,10,22,1973,1,10,1972-10-22,1973-01-10
