,Volcano_Number,Eruption_Number,Activity_Type,ExplosivityIndexMax,StartEvidenceMethod,StartDateYear,StartDateMonth,StartDateDay,EndDateYear,EndDateMonth,EndDateDay,StartDate,EndDate
1074,266030,16426,Confirmed Eruption,1,Observations: Reported,1971,5,19,1971,5,19,1971-05-19,1971-05-19
1075,266030,16427,Confirmed Eruption,2,Observations: Reported,1973,1,6,1973,5,27,1973-01-06,1973-05-27
1076,266030,16428,Confirmed Eruption,3,Observations: Reported,1982,8,26,1982,11,10,1982-08-26,1982-11-10
1077,266030,13598,Confirmed Eruption,2,Observations: Reported,1970,2,16,1970,5,26,1970-02-16,1970-05-26
1078,266030,20988,Confirmed Eruption,3,Observations: Reported,2015,1,6,2015,3,9,2015-01-06,2015-03-09
1079,266030,22105,Confirmed Eruption,3,Observations: Reported,2016,1,2,2016,2,7,2016-01-02,2016-02-07
1080,266030,16439,Confirmed Eruption,3,Observations: Reported,2008,6,6,2008,11,2,2008-06-06,2008-11-02
1081,266030,20820,Confirmed Eruption,3,Observations: Reported,2011,7,3,2011,8,15,2011-07-03,2011-08-15
1082,266030,20821,Confirmed Eruption,3,Observations: Reported,2012,8,26,2012,9,19,2012-08-26,2012-09-19
1083,266030,16435,Confirmed Eruption,2,Observations: Reported,2000,5,13,2003,9,4,2000-05-13,2003-09-04
1084,266030,16436,Confirmed Eruption,3,Observations: Reported,2004,10,18,2004,12,27,2004-10-18,2004-12-27
1085,266030,16437,Confirmed Eruption,2,Observations: Reported,2005,4,19,2005,7,18,2005-04-19,2005-07-18
1086,266030,22293,Confirmed Eruption,3,Observations: Reported,2018,10,2,2018,12,16,2018-10-02,2018-12-16
1087,266030,16438,Confirmed Eruption,3,Observations: Reported,2007,6,16,2007,11,9,2007-06-16,2007-11-09
1088,266030,16429,Confirmed Eruption,3,Observations: Reported,1984,5,24,1984,8,31,1984-05-24,1984-08-31
1089,266030,16430,Confirmed Eruption,2,Observations: Reported,1985,5,19,1985,5,20,1985-05-19,1985-05-20
1090,266030,16431,Confirmed Eruption,2,Observations: Reported,1989,4,22,1989,4,23,1989-04-22,1989-04-23
1091,266030,16432,Confirmed Eruption,2,Observations: Reported,1991,5,22,1996,9,29,1991-05-22,1996-09-29
1092,266030,16433,Confirmed Eruption,1,Observations: Reported,2005,12,26,2006,1,24,2005-12-26,2006-01-24
1093,266030,16434,Confirmed Eruption,1,Observations: Reported,2006,12,14,2006,12,26,2006-12-14,2006-12-26
1094,266100,20793,Confirmed Eruption,2,Observations: Reported,2011,6,26,2012,5,2,2011-06-26,2012-05-02
